Sl. No.,State/UT,e2W,e3W,e4W,Electric Bus
1,Andaman and Nicobar Islands,2,0,2,NA
2,Andhra Pradesh,17401,2100,2,NA
3,Arunachal Pradesh,1,1,NA,NA
4,Assam,1161,1064,1,NA
5,Bihar,7108,4587,2,25
6,Chandigarh,464,63,NA,40
7,Chhattisgarh,8579,2319,12,NA
8,Delhi,23928,7791,1918,209
9,Goa,2384,18,2,50
10,Gujarat,32830,932,62,238
11,Haryana,10318,1768,35,NA
12,Himachal Pradesh,664,171,NA,NA
13,Jammu Kashmir,1984,58,NA,NA
14,Jharkhand,4009,802,50,NA
15,Karnataka,68508,3621,597,NA
16,Kerala,16729,2095,11,NA
17,Ladakh,20,NA,NA,NA
18,Lakshadweep,3,2,NA,NA
19,Madhya Pradesh,13426,3159,12,NA
20,Maharashtra,68710,2056,430,495
21,Manipur,34,164,NA,NA
22,Meghalaya,15,9,NA,NA
23,Mizoram,2,NA,NA,NA
24,Nagaland,3,NA,NA,NA
25,Odisha,13914,675,29,NA
26,Puducherry,844,9,NA,NA
27,Punjab,6797,222,3,NA
28,Rajasthan,32563,1567,12,NA
29,Sikkim,5,1,NA,NA
30,Tamil Nadu,53151,1610,14,NA
31,Telangana,17590,1162,166,NA
32,Dadra and Nagar Haveli and Daman and Diu,39,23,NA,10
33,Tripura,86,1453,NA,NA
34,Uttar Pradesh,17296,10298,16,350
35,Uttarakhand,3290,2420,21,10
36,West Bengal,4594,1028,36,7
Total,Total,428452,53248,3432,1434
